month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
1,1,0,4.75,3.0,0,1,370000.0,310000.0,False,False,False,510000
3,1,1,4.5,2.6,0,1,273000.0,265000.0,False,True,False,278000
1,1,0,4.75,3.0,1,0,310000.0,329000.0,True,False,False,436500
6,2,2,4.25,3.3,0,1,260000.0,272000.0,False,True,False,710000
1,1,0,4.75,3.0,0,1,527500.0,420000.0,False,True,False,832000
7,3,2,4.25,3.2,0,1,299500.0,285000.0,False,False,False,560000
3,1,1,4.5,2.6,0,0,260000.0,270000.0,True,False,False,136000
8,3,2,4.25,3.1,0,1,180000.0,160000.0,False,False,True,135000
1,1,0,4.75,3.0,0,0,527500.0,580000.0,True,False,False,540000
3,1,1,4.5,2.6,0,1,345000.0,335000.0,False,True,False,380000
7,3,2,4.25,3.2,0,1,250000.0,255000.0,False,True,False,238000
7,3,2,4.25,3.2,0,1,490000.0,525000.0,False,False,False,622000
2,1,0,4.5,2.8,0,0,527500.0,574000.0,True,False,False,340500
6,2,2,4.25,3.3,0,0,375000.0,370000.0,True,False,False,270000
3,1,1,4.5,2.6,0,1,310000.0,445000.0,False,False,True,370000
3,1,1,4.5,2.6,0,1,527500.0,465000.0,False,False,True,575000
9,3,3,4.0,3.0,0,0,260000.0,270000.0,True,False,False,100000
3,1,1,4.5,2.6,0,1,300000.0,305000.0,False,False,True,262500
10,4,3,4.0,3.0,0,1,215500.0,200000.0,False,False,False,520000
8,3,2,4.25,3.1,0,1,175000.0,175000.0,False,False,True,130500
7,3,2,4.25,3.2,0,1,460000.0,430000.0,False,True,False,760000
12,4,0,4.0,2.8,0,1,285000.0,275000.0,False,True,False,275000
3,1,1,4.5,2.6,0,0,216975.0,235000.0,False,True,False,176000
7,3,2,4.25,3.2,0,1,345796.0,357000.0,False,False,False,475000
7,3,2,4.25,3.2,0,1,385000.0,400000.0,False,True,False,380000
9,3,3,4.0,3.0,0,1,299999.5,228000.0,False,True,False,292000
6,2,2,4.25,3.3,0,0,505000.0,432500.0,True,False,False,250000
10,4,3,4.0,3.0,0,1,195000.0,220000.0,False,True,False,195000
3,1,1,4.5,2.6,0,1,375000.0,485000.0,False,False,False,675000
1,1,0,4.75,3.0,1,1,285000.0,265000.0,False,True,False,279000
6,2,2,4.25,3.3,0,1,250000.0,182000.0,False,False,False,297500
11,4,3,4.0,2.9,0,1,235000.0,208625.0,False,False,True,190000
8,3,2,4.25,3.1,0,1,237500.0,220000.0,False,False,False,390000
1,1,0,4.75,3.0,0,1,355000.0,269995.0,False,False,True,225000
2,1,0,4.5,2.8,1,1,200000.0,218000.0,False,False,False,359800
1,1,0,4.75,3.0,0,0,527500.0,550000.0,True,False,False,325000
2,1,0,4.5,2.8,0,0,240500.0,250000.0,True,False,False,90000
12,4,0,4.0,2.8,0,1,235000.0,250000.0,False,True,False,239950
7,3,2,4.25,3.2,0,1,250000.0,300000.0,False,False,True,160000
12,4,0,4.0,2.8,0,0,320000.0,289000.0,False,False,True,105000
10,4,3,4.0,3.0,0,1,308748.0,280000.0,False,True,False,295000
3,1,1,4.5,2.6,0,1,290000.0,305000.0,False,False,True,145000
2,1,0,4.5,2.8,0,1,315000.0,305000.0,False,False,False,290000
3,1,1,4.5,2.6,0,1,242000.0,270000.0,False,False,True,308000
6,2,2,4.25,3.3,0,0,527500.0,435000.0,True,False,False,262500
7,3,2,4.25,3.2,0,0,527500.0,574000.0,True,False,False,610000
2,1,0,4.5,2.8,0,1,355000.0,362500.0,False,True,False,343000
6,2,2,4.25,3.3,0,1,338000.0,335000.0,False,False,True,210000
4,2,1,4.25,3.5,0,1,455000.0,420000.0,False,True,False,450000
9,3,3,4.0,3.0,0,1,407500.0,410750.0,False,False,True,290000
3,1,1,4.5,2.6,0,1,237500.0,233500.0,False,False,False,273500
12,4,0,4.0,2.8,0,1,273000.0,280000.0,False,False,True,164000
5,2,1,4.25,3.4,0,0,527500.0,574000.0,True,False,False,1070000
3,1,1,4.5,2.6,0,1,527500.0,421000.0,False,True,False,457000
6,2,2,4.25,3.3,1,1,375000.0,332000.0,False,True,False,340000
5,2,1,4.25,3.4,0,1,199950.0,190500.0,False,True,False,375000
8,3,2,4.25,3.1,0,1,385000.0,425000.0,False,False,True,328950
8,3,2,4.25,3.1,0,0,527500.0,574000.0,True,False,False,2475000
2,1,0,4.5,2.8,0,1,235000.0,265000.0,False,False,False,177500
3,1,1,4.5,2.6,0,1,370000.0,350000.0,False,False,False,665000
4,2,1,4.25,3.5,0,1,195000.0,185000.0,False,False,False,365000
11,4,3,4.0,2.9,0,1,310000.0,379875.0,False,False,True,251000
5,2,1,4.25,3.4,0,1,340000.0,440000.0,False,False,True,305000
1,1,0,4.75,3.0,0,1,370000.0,440000.0,False,False,True,350000
11,4,3,4.0,2.9,0,1,355000.0,441750.0,False,True,False,285000
2,1,0,4.5,2.8,0,1,208000.0,205000.0,False,False,True,157500
8,3,2,4.25,3.1,0,0,375000.0,332000.0,True,False,False,403000
6,2,2,4.25,3.3,0,0,175000.0,174000.0,True,False,False,73000
8,3,2,4.25,3.1,0,1,407500.0,411000.0,False,False,False,805000
10,4,3,4.0,3.0,0,1,286000.0,280000.0,False,False,True,383000
2,1,0,4.5,2.8,0,1,240500.0,250000.0,False,True,False,415000
4,2,1,4.25,3.5,0,1,215500.0,210000.0,False,True,False,160000
2,1,0,4.5,2.8,0,1,240500.0,250000.0,False,False,True,181000
8,3,2,4.25,3.1,0,1,205000.0,255000.0,False,True,False,328000
7,3,2,4.25,3.2,0,0,237500.0,362000.0,False,True,False,242500
10,4,3,4.0,3.0,0,1,180000.0,210000.0,False,True,False,155000
5,2,1,4.25,3.4,0,1,230000.0,227500.0,False,True,False,195000
1,1,0,4.75,3.0,0,1,180000.0,210000.0,False,False,True,150000
5,2,1,4.25,3.4,0,1,350000.0,325000.0,False,False,True,380000
1,1,0,4.75,3.0,0,1,215000.0,245000.0,False,True,False,225000
7,3,2,4.25,3.2,0,1,290000.0,282500.0,False,False,False,180000
10,4,3,4.0,3.0,0,1,527500.0,413250.0,False,False,True,540000
12,4,0,4.0,2.8,0,1,370000.0,350000.0,False,False,True,348000
3,1,1,4.5,2.6,0,0,299999.5,530000.0,False,False,True,384250
10,4,3,4.0,3.0,0,1,275000.0,309497.5,False,True,False,252500
6,2,2,4.25,3.3,0,1,240500.0,250000.0,False,False,True,465000
10,4,3,4.0,3.0,0,1,310000.0,240000.0,False,True,False,258000
11,4,3,4.0,2.9,0,0,299500.0,285000.0,True,False,False,110000
5,2,1,4.25,3.4,0,1,230000.0,230000.0,False,True,False,185000
3,1,1,4.5,2.6,0,1,286000.0,276750.0,False,False,False,360000
8,3,2,4.25,3.1,0,1,355000.0,355000.0,False,False,False,300000
7,3,2,4.25,3.2,0,1,338000.0,335000.0,False,False,False,560000
7,3,2,4.25,3.2,0,0,527500.0,574000.0,True,False,False,350000
7,3,2,4.25,3.2,0,1,235000.0,295000.0,False,False,False,390000
7,3,2,4.25,3.2,0,1,370000.0,350000.0,False,False,True,340000
5,2,1,4.25,3.4,0,0,401250.0,395000.0,True,False,False,170000
2,1,0,4.5,2.8,0,1,145000.0,168000.0,False,False,True,190000
3,1,1,4.5,2.6,0,1,215000.0,210000.0,False,True,False,248000
2,1,0,4.5,2.8,1,1,260000.0,427000.0,False,False,True,450000
3,1,1,4.5,2.6,0,0,200000.0,175000.0,False,False,False,325000
